#GENERATED_BY	cgatools
#GENERATED_AT	2011-Sep-25 11:57:28.488765
#SOFTWARE_VERSION	2.0.0.32
#FORMAT_VERSION	2.0
#TYPE	SV-EVENTS

>EventId	Type	RelatedJunctionIds	MatePairCounts	FrequenciesInBaselineGenomeSet	OriginRegionChr	OriginRegionBegin	OriginRegionEnd	OriginRegionLength	OriginRegionStrand	DestinationRegionChr	DestinationRegionBegin	DestinationRegionEnd	DestinationRegionLength	DestinationRegionStrand	DisruptedGenes	ContainedGenes	GeneFusions	RelatedMobileElement	MobileElementChr	MobileElementBegin	MobileElementEnd	MobileElementStrand
11	complex	188;7585	3;107	0.00;0.00																		
12	complex	243;4461;7646	14;3;30	0.25;0.02;0.27																		
13	complex	271;4510	5;30	0.00;0.23											MYO9B							
14	complex	369;4633;7764	44;95;65	0.63;0.63;0.63																		
15	complex	370;7765	46;26	0.00;0.00											RAB31							
16	complex	416;1670;1715;1717;1718;1725;1822;2596;2597;2665;2666;3483;3774;3775;3907;4738;4739;4740;4741;4742;4743;4744;4745;4746;4747;4748;4749;4750;4751;4752;4753;4754;4755;4756;4757;4758;4759;4760;7168;7550;7551;7805;7806;7807;7907;7908;7909;7910;8074;8075;8957;8958;8959;8960;8961;8962;8963	21;7;3;43;35;22;12;31;20;3;6;12;34;47;46;29;25;7;143;150;15;12;66;63;144;12;15;359;111;11;5;63;36;101;3;6;422;247;1766;3;4;13;7;15;34;21;4;16;28;31;358;21;29;517;356;25;146	0.94;0.02;0.10;1.00;0.90;0.63;0.19;1.00;0.33;0.00;0.06;0.50;0.83;0.54;0.71;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.67;0.96;1.00;1.00;0.79;0.31;1.00;0.75;1.00;1.00;0.00;1.00;1.00;1.00;0.29;0.19;0.79;0.17;0.04;0.85;0.54;0.33;0.10;0.96;0.65;1.00;0.23;0.85;1.00;1.00;0.00;1.00											CDC27;LOC100288870;TOP		LOC100288870/CDC27;TOP/CDC27					
17	complex	419;420;1618;4770;4772;5025;7848	49;3;12;18;39;7;5	1.00;0.00;1.00;0.94;1.00;0.75;0.31											LOC100130581;RNU2-2		LOC100130581/RNU2-2					
18	distal-duplication	430;7819	12;7	0.29;0.29	chr17	14662163	14662309	146	-	chr17	14659443	14659600	157	+								
19	distal-duplication	438;7829	80;66	0.88;0.88	chr16	85188713	85188840	127	-	chr16	85189712	85189804	92	+								
20	complex	440;7831	10;9	0.00;0.83											CDYL2							
21	probable-inversion	467	10	0.15	chr16	27952890	27953591	701	-						GSG1L							
22	complex	529;728;1550;1727;1730;2112;2115;2609;2610;2611;2866;3401;3531;3773;4000;4018;4043;4044;4073;4828;5167;6493;6613;6619;7116;7310;8062;8861;8889;8970;8971;8994;9216;9224;9534	40;7;3;6;149;5;3;3;4;177;3;6;8;4;3;19;3;360;3;5;4;3;75;11;8;4;4;7;6;529;16;12;5;3;3	0.58;0.92;0.33;1.00;1.00;0.38;0.42;1.00;1.00;1.00;0.00;0.48;0.02;0.54;0.08;1.00;1.00;1.00;0.13;1.00;0.29;0.00;0.96;0.92;0.83;0.27;0.73;0.08;0.85;1.00;1.00;0.87;0.58;0.00;0.00											ABCB5;EHBP1;FMN2;GPHN;SH3KBP1;ZFR							
23	interchromosomal	601	88	0.00	chr11	10481964	10481964	0	-	chr16	67585756	67585756	0	+	AMPD3							
24	interchromosomal	628	190	0.00	chr10	73500940	73500940	0	-	chr19	51447732	51447732	0	+	CDH23;KLK5		KLK5/CDH23					
25	complex	638;8800	5;126	0.12;0.77																		
26	complex	748;1621;2823;4831;5098;6464;7846;8077	7;3;7;34;6;3;3;5	0.77;0.00;0.21;1.00;0.48;0.00;0.00;0.12											C2orf77;LOC100288801							
27	complex	750;751;752;753;755;756;1230;1622;1623;3176;3393;4768;4832;4833;4834;5099;5100;6407;6408;6409;6410;6730;8558;8717;8941	6;3;3;3;3;3;6;5;11;4;4;3;4;3;12;3;3;4;7;3;5;18;12;16;3	0.33;0.00;0.12;0.12;0.25;0.00;0.12;0.04;0.29;0.04;0.06;0.06;0.00;0.10;0.23;0.00;0.00;0.00;0.42;0.27;0.02;0.56;0.63;0.42;0.00											DUX4C;LOC100287647;LOC100287759;LOC100288109;LOC100288801;LOC728701;PCMTD1;STK31		PCMTD1/LOC100287759;STK31/PCMTD1;TSS-UPSTREAM[LOC100287647]/LOC727758;TSS-UPSTREAM[LOC100287759]/LOC100287647					
28	complex	819;8157	221;20	0.00;0.00											C14orf43							
29	distal-duplication	820;8158	17;21	0.27;0.29	chr14	73608440	73608505	65	-	chr14	73552012	73552222	210	+	PSEN1;RBM25							
30	distal-duplication	826;8160	32;13	0.00;1.00	chr14	65288987	65289123	136	-	chr14	65289080	65289092	12	+	SPTB							
31	inversion	843;8186	13;12	0.00;1.00	chr13	82356876	82356959	83	-	chr13	82356872	82356976	104	+								
32	distal-duplication	844;8187	85;30	0.00;0.00	chr13	77501725	77534798	33073	-	chr13	77518112	77518392	280	+	IRG1	BTF3L1;IRG1						
33	complex	864;875;2929;2931;5310;8198	85;63;9;3;14;8	0.98;0.98;0.90;0.13;0.83;0.87											TDG							
34	probable-inversion	865	41	1.00	chr12	110616588	110617822	1234	-						IFT81							
35	distal-duplication	871;8207	186;161	0.13;0.13	chr12	71709260	71709544	284	-	chr12	71710317	71710321	4	+								
36	distal-duplication	872;8208	198;234	0.69;0.00	chr12	71532793	71533277	484	-	chr12	71533752	71533754	2	+	TSPAN8							
37	complex	878;8213	97;278	0.00;0.00																		
38	complex	883;1182;1183;1863;3846;3847;5805;5808;5852;5853;6665;6672;8493;8494;8495	3;5;3;7;8;28;10;279;16;4;3;5;10;3;4	0.06;0.17;0.17;0.23;0.17;0.96;1.00;1.00;0.77;0.33;0.10;0.13;0.85;0.06;0.19											ANGPT1;LOC642236							
39	complex	889;2406;5352;8227	5;3;11;7	0.25;0.08;0.56;0.48											SEC23B							
40	complex	908;909;910;8235;8236;8238	4;3;3;10;4;4	0.00;0.00;0.00;0.00;0.00;0.00																		
41	probable-inversion	916	44	0.00	chr12	34152881	34380699	227818	-													
42	complex	924;1658;8247	164;6;75	1.00;0.10;1.00											ERBB4;LOH12CR1		ERBB4/LOH12CR1					
43	distal-duplication	966;8303	128;119	0.23;0.23	chr11	78368855	78369024	169	-	chr11	57967333	57967348	15	+	ODZ4							
44	complex	973;8319	116;254	0.40;0.40																		
45	complex	1004;3009;5503;8343	197;3;4;110	0.13;0.00;0.00;0.13																		
46	complex	1024;5546	5;99	0.40;1.00																		
47	probable-inversion	1028	150	0.48	chr10	127595589	127607306	11717	-						FANK1							
48	distal-duplication	1038;8384	17;11	0.38;0.00	chr10	81316262	81316878	616	-	chr10	81373955	81374560	605	+	SFTPA1;SFTPA1B;SFTPA2;SFTPA2B		SFTPA1/SFTPA2;SFTPA1/SFTPA2B;SFTPA1B/SFTPA2;SFTPA1B/SFTPA2B;SFTPA2/SFTPA1;SFTPA2B/SFTPA1					
49	complex	1043;5603	135;317	0.00;0.00											C10orf11;POLR3A							
50	distal-duplication	1056;8390	16;18	0.00;1.00	chr10	67428623	67428708	85	-	chr10	67428652	67428737	85	+								
51	complex	1057;8393	60;4	0.98;0.42																		
52	complex	1060;3878;8396	157;3;43	1.00;0.00;0.63																		
53	distal-duplication	1107;8437	86;16	0.00;0.94	chr10	13104984	13105082	98	-	chr10	13105272	13105320	48	+								
54	distal-duplication	1109;8438	28;55	0.00;1.00	chr10	12867123	12867244	121	-	chr10	12867171	12867190	19	+	CAMK1D							
55	complex	1138;5748	3;89	0.00;0.00																		
56	complex	1163;5790;8487	41;149;38	0.94;0.94;0.94																		
57	probable-inversion	1180	71	0.96	chr9	76898138	76898389	251	-													
58	complex	1193;2785;3158;3159;3160;3902;5812;6727;8509	156;6;3;336;58;6;3;5;150	1.00;0.00;0.04;1.00;0.87;0.10;0.06;0.10;1.00											ANKRD20B;LOC100289454		ANKRD20B/LOC100289454;LOC100289454/ANKRD20B					
59	distal-duplication	1197;8511	16;39	0.00;0.00	chr9	33969945	33970226	281	-	chr9	33969658	33969877	219	+	UBAP2							
60	distal-duplication	1223;8538	23;66	0.00;0.00	chr8	100157922	100158246	324	-	chr8	100157812	100157821	9	+	VPS13B							
61	complex	1229;3140;3301;3850;3867;4079;4109;5068;5069;5070;5330;5333;5776;5779;5787;5788;8311;9550;9574;9575;9577	3;13;41;9;3;5;5;7;4;9;6;3;6;12;23;9;5;19;5;9;23	0.12;0.21;1.00;0.33;0.04;0.33;0.04;0.25;0.13;0.75;0.29;0.37;0.54;0.94;0.37;0.27;0.46;1.00;0.10;0.56;1.00											ASRGL1;C10orf112;ITLN2;LDHB;ZNF578							
62	probable-inversion	1237	46	0.79	chr8	73023619	73023864	245	-													
63	complex	1252;1253;3189	6;3;10	0.87;0.15;0.94																		
64	complex	1277;3276	3;10	0.00;0.90											ADCY1							
65	complex	1289;6306;8600	4;43;29	0.08;0.90;0.08											FBRSL1							
66	distal-duplication	1349;8686	19;11	0.37;0.27	chr7	66768949	66769730	781	-	chr7	102018972	102019334	362	+	LOC100289561;STAG3L4							
67	complex	1364;8679	96;154	0.83;0.83																		
68	distal-duplication	1382;8710	201;77	0.67;0.67	chr7	40879335	40879375	40	-	chr7	40880452	40880470	18	+	C7orf10							
69	complex	1385;2727;3199;3906;5109;5110;5162;5956;5958;7968;8057;8058;8076;8507	4;24;97;9;3;12;4;6;4;6;6;14;4;13	0.00;1.00;1.00;0.10;0.44;0.46;0.12;0.60;0.00;0.00;0.08;0.12;0.13;0.27											BAI1;CEP192;DSC1;MARCH10;MED27;RTEL1;SH3BGR		TSS-UPSTREAM[TNFRSF6B]/PTPRN2					
70	distal-duplication	1386;8713	10;5	0.08;0.00	chr7	35438617	35438908	291	-	chr7	35439857	35440149	292	+								
71	complex	1389;6132;8714	143;141;219	0.19;0.19;0.19											CCDC129							
72	distal-duplication	1424;8751	39;27	0.00;1.00	chr6	131884798	131884837	39	-	chr6	131884922	131884961	39	+								
73	complex	1442;6259	12;3	0.00;0.00																		
74	complex	1456;6266;8771	17;141;7	0.67;0.75;0.35																		
75	complex	1462;6283	3;264	0.00;0.96																		
76	complex	1464;3332;8779	4;21;3	0.08;0.17;0.00											BAT1							
77	distal-duplication	1498;8818	270;225	0.71;0.00	chr5	169597467	169597697	230	-	chr5	169598749	169598755	6	+								
78	complex	1502;6368;8824	152;17;262	0.81;0.37;0.81											SPINK5L2							
79	complex	1665;1666;4379;4380;9006	5;6;21;5;6	0.42;0.21;0.48;0.44;0.35											LOC100132288							
80	complex	1746;4837;6461;6607;6608;6609;9225;9796;9797	5;44;3;55;16;14;4;22;3	0.27;0.92;0.04;0.54;0.54;0.54;0.33;0.56;0.56											ZNF678							
81	complex	1772;2313	6;21	0.38;0.94																		
82	deletion	1774	217	0.50	chrX	154485915	154486946	1031	+													
83	deletion	1775	201	0.00	chrX	154205937	154226596	20659	+						F8							
84	deletion	1776	273	0.06	chrX	149927934	149928852	918	+						MTMR1							
85	deletion	1779	71	0.79	chrX	144422075	144424506	2431	+													
86	deletion	1780	12	0.94	chrX	138384911	138385237	326	+													
87	deletion	1781	17	0.98	chrX	135157999	135158330	331	+													
88	deletion	1783	108	0.38	chrX	126597763	126602399	4636	+													
89	deletion	1785	31	0.40	chrX	118874239	118876836	2597	+													
90	complex	1834;2933;5786;6621	4;632;5;23	0.00;0.00;0.02;0.10											PPM1B							
91	complex	2030;6791	3;104	0.00;0.00																		
92	complex	2042;9438	13;1346	0.79;1.00																		
93	complex	2044;3951;3952;3953;3954;6845;6846;6847	3;16;12;14;50;17;49;15	0.04;0.98;0.87;0.96;1.00;0.85;1.00;0.85																		
94	probable-inversion	2057	303	0.90	chr4	88847163	88858699	11536	-													
95	complex	2067;6417	11;10	0.81;0.00																		
96	distal-duplication	2096;9490	48;11	0.00;0.00	chr3	56816545	56816678	133	-	chr5	14306270	14306273	3	+	ARHGEF3;TRIO		ARHGEF3/TRIO;TRIO/ARHGEF3					
97	distal-duplication	2101;9499	57;43	1.00;1.00	chr3	44740992	44741157	165	-	chr3	44742121	44742283	162	+								
98	complex	2105;7098;9512	101;241;63	0.69;0.69;0.69																		
99	complex	2131;4040	5;10	0.96;0.48																		
100	distal-duplication	2133;9535	11;26	0.00;0.63	chr2	131886576	131886739	163	-	chr2	131887091	131887306	215	+	PLEKHB2							
101	complex	2137;7176;9536	151;4;45	0.17;0.13;0.17																		
102	complex	2138;4050;7177;9537;9538	3;26;8;16;5	0.00;0.19;0.19;0.17;0.17																		
103	complex	2182;9579	162;163	0.00;0.00											RGS22;SYCP1;TTLL7		RGS22/SYCP1					
104	interchromosomal	2183	27	0.00	chr1	84292409	84292409	0	-	chr8	100960717	100960717	0	+								
105	complex	2200;4189;7419;9606	33;9;4;74	0.00;0.00;0.00;0.00																		
106	distal-duplication	2203;9549	150;33	0.60;0.60	chr2	61703176	61703455	279	-	chr2	61700753	61700780	27	+								
107	probable-inversion	2207	45	0.00	chr2	42665631	42679976	14345	-						KCNG3							
108	complex	2235;2267;7400	8;82;10	0.37;0.92;0.87																		
109	complex	2244;9011;9639	84;279;38	0.69;0.69;0.69											C4BPA							
110	inversion	2247;9644	6;163	0.00;0.65	chr1	205178703	205178774	71	-	chr1	205178606	205178979	373	+	DSTYK							
111	complex	2252;9016;9650	68;287;60	0.00;0.00;0.00											CACNA1S							
112	complex	2261;9025;9658	192;74;103	0.92;0.92;0.92																		
113	complex	2305;9675	219;163	0.00;0.00											GPATCH2							
114	probable-inversion	2308	336	1.00	chr1	17051723	234912187	217860464	-													
115	tandem-duplication	2315	20	0.63	chrX	139157693	139220907	63214	+							LOC389895						
116	tandem-duplication	2316	18	0.00	chrX	128474925	128506963	32038	+													
117	distal-duplication	2318;4257	28;35	0.04;0.04	chrX	62245573	62245833	260	+	chrX	62244534	62244542	8	+								
118	distal-duplication	2322;4292	38;20	0.77;0.00	chrX	52886720	52891982	5262	+	chrX	55678950	55678972	22	+	XAGE-4;XAGE3		XAGE-4/XAGE3					
119	complex	2323;4293	5;145	0.48;1.00											FAM104B;LOC100288322							
120	tandem-duplication	2337	19	0.79	chrX	1238621	1238865	244	+													
121	tandem-duplication	2339	38	0.21	chrX	204666	204995	329	+						PLCXD1							
122	complex	2341;4313;4355;4363;4364	8;11;13;9;26	0.65;0.73;0.98;0.77;1.00																		
123	tandem-duplication	2342	35	0.44	chr22	22703106	22752441	49335	+													
124	tandem-duplication	2343	10	0.52	chr22	20062477	20063008	531	+													
125	tandem-duplication	2369	110	0.94	chr20	42325138	42325642	504	+						MYBL2							
126	tandem-duplication	2372	19	0.00	chr20	30928602	31182914	254312	+							ASXL1;C20orf112						
127	tandem-duplication	2373	149	0.00	chr20	30729766	30817675	87909	+						POFUT1;TM9SF4	PLAGL2;POFUT1;TSPYL3	POFUT1/TM9SF4					
128	tandem-duplication	2375	18	0.62	chr20	24510425	24510671	246	+						C20orf39							
129	tandem-duplication	2376	22	0.58	chr20	21190231	21190476	245	+						NCRNA00153							
130	tandem-duplication	2377	43	0.00	chr20	19163946	19262976	99030	+						LOC100130264;SLC24A3							
131	complex	2380;2381;4412	104;40;14	1.00;1.00;0.94											CCDC123							
132	distal-duplication	2409;4437	82;73	0.79;0.79	chr20	2359701	2359903	202	+	chr20	2360608	2360614	6	+								
133	tandem-duplication	2410	413	0.54	chr20	2216982	2217102	120	+													
134	tandem-duplication	2411	113	0.00	chr19	58587587	58721314	133727	+						ZNF274	LOC100288459;LOC100288849;ZNF329;ZSCAN18						
135	tandem-duplication	2413	116	0.92	chr19	44183366	44183954	588	+													
136	tandem-duplication	2449	24	0.96	chr19	23935930	23936394	464	+						ZNF681							
137	tandem-duplication	2451	143	0.00	chr19	18854162	18920491	66329	+						CRTC1	COMP						
138	tandem-duplication	2452	130	0.00	chr19	16967052	17079512	112460	+						CPAMD8;SIN3B	F2RL3;LOC100288045						
139	complex	2454;2652	13;21	0.69;0.79											CLEC17A;MYO7A		CLEC17A/MYO7A					
140	tandem-duplication	2457	34	0.00	chr19	10537664	10649198	111534	+						PDE4A	KEAP1;PDE4A;S1PR5	TSS-UPSTREAM[ATG4D]/PDE4A					
141	tandem-duplication	2461	30	1.00	chr19	1142020	1142281	261	+						SBNO2							
142	tandem-duplication	2463	10	0.35	chr18	77444892	77445106	214	+						CTDP1							
143	tandem-duplication	2464	196	1.00	chr18	76960703	76960779	76	+						ATP9B							
144	tandem-duplication	2465	38	1.00	chr18	60885834	60886057	223	+						BCL2;LOC100287255							
145	tandem-duplication	2467	12	0.75	chr18	46593457	46593818	361	+						DYM							
146	interchromosomal	2472	34	0.00	chr14	73666462	73666462	0	-	chr20	6199228	6199228	0	-	PSEN1							
147	tandem-duplication	2476	92	0.00	chr18	33453657	33542429	88772	+													
148	tandem-duplication	2477	101	0.00	chr18	23808508	23808899	391	+						TAF4B							
149	tandem-duplication	2511	31	0.00	chr18	8939080	10814205	1875125	+						C18orf58	ANKRD12;APCDD1;FAM38B;LOC100129773;LOC100288932;NAPG;NDUFV2;PPP4R1;RAB31;RALBP1;TWSG1;TXNDC2;VAPA						
150	tandem-duplication	2512	96	0.00	chr18	616133	641822	25689	+						CLUL1							
151	tandem-duplication	2573	126	0.00	chr17	79464985	79550911	85926	+						NPLOC4	ACTG1;C17orf70;FSCN2						
152	tandem-duplication	2575	15	0.00	chr17	75354197	75394373	40176	+						SEPT9							
153	tandem-duplication	2578	165	0.54	chr17	67957684	67958083	399	+													
154	tandem-duplication	2579	12	1.00	chr17	63496078	63496470	392	+													
155	tandem-duplication	2580	60	0.00	chr17	48779027	48839558	60531	+						ANKRD40;C17orf73	CROP	ANKRD40/C17orf73					
156	distal-duplication	2582;4761	60;15	1.00;0.71	chr17	45175751	45175823	72	+	chr17	44287865	44287865	0	+								
157	tandem-duplication	2585	91	0.08	chr17	27812530	27815461	2931	+						TAOK1							
158	tandem-duplication	2589	11	0.00	chr17	20615646	20623511	7865	+													
159	tandem-duplication	2592	279	0.65	chr16	81798658	81799201	543	+													
160	tandem-duplication	2593	22	0.00	chr16	81057485	81121953	64468	+						CENPN;GCSH	ATMIN;C16orf46						
161	distal-duplication	2594;4819	69;18	0.58;0.52	chr16	69858805	69859021	216	+	chr16	69854331	69854685	354	+	WWP2							
162	tandem-duplication	2595	60	0.00	chr16	67137812	67271236	133424	+						FHOD1	B3GNT9;C16orf70;E2F4;ELMO3;EXOC3L;FBXL8;HSF4;KIAA0895L;LOC100289223;LRRC29;NOL3;TMEM208;TRADD						
163	tandem-duplication	2601	19	0.60	chr16	48966187	48966587	400	+													
164	tandem-duplication	2602	94	1.00	chr16	48280922	48281375	453	+						LONP2							
165	tandem-duplication	2614	102	1.00	chr16	26385350	26386290	940	+													
